,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,1.38E-05,1.92E-06,2.85E-06,-0.003506676,0.025294585,-0.005213353,-27.117336,-2.3413982,-22.827126,6.042705,7.4025536,2.5880208
2,7.19E-06,1.02E-06,1.33E-06,-0.002590379,0.018269641,-0.003380759,-27.56596,-1.3876667,-22.507671,6.0474935,7.3857946,2.6047795
3,2.96E-06,1.89E-07,2.34E-07,-0.000757785,0.011855563,-0.0009373,-27.42575,-1.8701439,-22.743275,6.01637,7.4097357,2.6239324
4,2.15E-06,3.59E-07,2.67E-07,-0.001674082,0.01002297,-0.001242732,-26.35913,-0.82393837,-22.464996,6.013976,7.376218,2.6047795
5,8.64E-09,4.75E-08,-3.11E-08,-0.00136865,0.000249133,0.000895294,-28.848862,-3.2590961,-22.124226,6.0450997,7.3857946,2.6239324
6,-2.53E-07,1.09E-08,-6.64E-08,-0.00014692,-0.003416055,0.000895294,-25.931328,-2.0932522,-20.80196,6.0498877,7.3834004,2.6550555
7,-2.44E-07,-5.04E-08,-5.86E-08,0.000769377,-0.003721488,0.000895294,-25.789326,-2.5870686,-22.913525,5.9972177,7.400159,2.6071734
8,-1.83E-06,-3.34E-07,-2.38E-07,0.001685673,-0.00921927,0.001200727,-27.58408,-1.7202644,-23.339119,6.013976,7.397765,2.6382968
9,-1.18E-06,-7.41E-08,-2.89E-07,0.000463944,-0.007386676,0.001811591,-26.53001,-3.7681522,-21.818886,6.0259466,7.3857946,2.5736563
10,-8.02E-08,3.22E-08,-6.40E-08,-0.000757785,-0.001888894,0.001506159,-26.275837,-2.2881317,-22.537342,6.0450997,7.392977,2.595203
11,8.85E-08,2.72E-08,-1.46E-07,-0.000452353,0.001470862,0.002422457,-26.20081,-0.97381973,-21.869148,6.040311,7.4025536,2.5808384
12,1.83E-08,9.60E-09,-6.04E-09,-0.000452353,0.000859998,0.00028443,-26.565834,-1.4861736,-21.9347,6.035523,7.400159,2.5856268
13,1.76E-06,2.64E-07,4.06E-09,-0.00136865,0.009106671,-2.10E-05,-26.584251,-1.8168793,-22.453491,6.035523,7.3881884,2.6071734
14,2.71E-06,5.51E-07,1.52E-07,-0.002284947,0.011244698,-0.000631868,-26.566135,-1.4842834,-21.62204,6.013976,7.392977,2.6023853
15,3.28E-06,1.99E-07,3.27E-07,-0.000757785,0.012466427,-0.001242732,-27.24781,-1.6968784,-22.87928,6.042705,7.4073415,2.5999913
16,5.39E-06,7.78E-07,9.43E-07,-0.002284947,0.015826184,-0.002769894,-27.070465,-1.5198326,-22.389965,6.066646,7.3810067,2.5808384
17,1.78E-06,8.83E-08,3.62E-07,-0.000452353,0.009106671,-0.001853597,-27.247059,-1.7016048,-23.66093,5.982853,7.3834004,2.6287205
18,1.16E-06,2.34E-08,3.44E-07,-0.00014692,0.007274078,-0.002159029,-25.610931,-2.4166393,-23.51852,6.0211587,7.3834004,2.6502674
19,1.17E-06,2.70E-07,2.99E-07,-0.001674082,0.007274078,-0.001853597,-27.912712,-1.5683727,-21.898102,6.0522814,7.400159,2.6023853
20,-1.91E-08,2.88E-09,1.24E-08,-0.00014692,-0.000972597,-0.000631868,-27.58588,-1.7089233,-21.463161,5.985247,7.376218,2.6119618
21,-5.23E-07,-4.91E-08,-9.47E-08,0.000463944,-0.004943217,0.000895294,-26.584702,-1.814045,-21.9845,6.0187645,7.392977,2.643085
22,-2.74E-07,6.68E-08,-2.41E-07,-0.000757785,-0.003110623,0.002727889,-26.771633,-2.1540794,-22.342384,6.035523,7.414524,2.5999913
23,-6.01E-07,-1.82E-08,-1.73E-07,0.000158512,-0.00524865,0.001506159,-28.773682,-1.9457283,-21.612366,6.0307345,7.3834004,2.6239324
24,-9.97E-07,-2.03E-07,-1.77E-07,0.001380242,-0.006775811,0.001200727,-29.090782,-1.6431313,-22.335064,6.013976,7.3881884,2.6143558
25,-1.78E-09,4.33E-08,2.00E-08,-0.00136865,-5.63E-05,-0.000631868,-27.912262,-1.571207,-22.367088,6.0522814,7.395371,2.5832324
26,-5.36E-08,4.98E-09,-9.64E-09,-0.00014692,-0.001583461,0.00028443,-26.536327,-1.0019283,-23.110641,6.0211587,7.414524,2.6215382
27,1.46E-07,9.08E-08,3.43E-08,-0.001674082,0.002692591,-0.000631868,-26.723106,-1.3429089,-23.624857,6.035523,7.4097357,2.571262
28,3.49E-07,1.22E-07,8.36E-08,-0.00136865,0.003914321,-0.0009373,-26.497086,-0.3556385,-24.57434,6.009188,7.397765,2.61675
29,1.15E-06,1.68E-07,2.44E-07,-0.001063217,0.007274078,-0.001548165,-27.537655,-0.8958626,-22.432972,6.006794,7.395371,2.643085
30,1.30E-06,1.62E-07,4.69E-07,-0.001063217,0.008495806,-0.003075327,-26.24723,-1.7982197,-22.7753,6.0522814,7.400159,2.5999913
31,1.15E-06,2.64E-07,1.48E-07,-0.001674082,0.007274078,-0.0009373,-27.537952,-0.8939743,-22.120312,6.0259466,7.4049473,2.61675
32,6.51E-07,9.07E-08,1.85E-07,-0.000757785,0.005441483,-0.001548165,-27.426502,-1.8654194,-21.961624,6.009188,7.397765,2.5975974
33,8.79E-08,7.27E-09,7.67E-08,-0.00014692,0.001776295,-0.001548165,-25.452156,-2.569353,-23.391666,6.033129,7.3857946,2.6359026
34,7.04E-08,5.83E-09,2.51E-08,-0.00014692,0.001776295,-0.000631868,-26.538277,-0.9896431,-21.07835,6.006794,7.3881884,2.5975974
35,-6.29E-07,-9.22E-08,-2.54E-07,0.000769377,-0.00524865,0.002117024,-26.35838,-0.8286648,-23.246645,6.0259466,7.390583,2.645479
