,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0.01415212,0.043576792,-0.018082548,-1.242605,0.391115,0.5052882,7.68,16.74,-5.8799996,1.0247496,-9.759064,-3.5052183
2,0.019455029,0.034190368,-0.007777554,-1.3220174,0.7454169,0.2872093,7.98,16.92,-5.8199997,0.00478855,-7.5659084,-1.403045
3,0.023683054,0.027225459,-0.005376009,-0.9011313,0.7796253,0.16686884,7.74,17.22,-4.2,0.14844504,-7.3169036,1.3527653
4,0.01045143,0.004192795,0.000809057,-0.30431595,0.75946677,-0.060373034,7.7999997,17.82,-3.54,1.3000913,-10.228342,1.8914771
5,0.015580653,0.008838612,0.000344057,-0.41610432,0.7338104,-0.019445064,8.58,17.58,-2.7,3.179597,-9.4932995,0.16281068
6,0.004438726,0.007427244,0.001268992,-0.5004037,0.29948524,-0.08664024,8.58,17.52,-2.04,2.6528566,-9.651321,-0.0670397
7,0.003340884,0.001027942,0.001831748,-0.1259433,0.4106627,-0.22530666,8.22,17.64,-2.22,1.0415095,-8.71516,1.673598
8,0.004469043,1.32E-05,0.00230804,-0.000715934,0.39722365,-0.2051481,7.7999997,18,-1.8,0.9122187,-9.316123,0.74701375
9,0.002056042,0.002635614,0.003004713,-0.30309424,0.23717698,-0.34625795,7.2,19.02,-1.8,1.3479767,-11.075915,-0.34477556
10,0.005403002,0.006237311,0.005462785,-0.4826886,0.42043656,-0.42505956,7.5,18.119999,-0.84,1.1708003,-10.213976,-0.11971374
11,0.00509188,0.008578992,0.007655772,-0.5889792,0.35263053,-0.5282958,7.08,18.06,0.06,1.5586729,-9.115005,0.18675344
12,0.004418492,0.007536948,0.007585792,-0.5394991,0.31903294,-0.5454,7.2,17.699999,0.24,2.6337023,-9.115005,0.44294083
13,0.000919425,0.001343097,0.002461873,-0.19069502,0.13088644,-0.34992316,5.58,18.66,1.26,2.6696165,-8.636149,0.7326481
14,-6.30E-05,6.06E-05,0.000226029,-0.02453968,-0.025495071,-0.091527164,4.74,18.84,1.86,1.6496553,-8.3679905,1.594587
15,-0.005357143,-0.000622406,-0.003956268,0.059759725,-0.50563514,0.3733413,4.92,18.48,1.1999999,0,-9.253872,1.4437478
16,-0.00365732,0.00108227,-0.00023852,-0.1351063,-0.45676592,0.030035023,5.2799997,19.02,1.68,-0.09337672,-10.853248,-0.505192
17,-0.000101761,0.000233779,0.003463885,-0.03064833,-0.013277767,-0.45377025,5.04,18.66,2.1,1.1660118,-11.490125,-0.89545876
18,-0.000706559,-0.000217774,0.002809842,0.03104906,-0.10124236,-0.4024576,3.3,19.92,4.02,2.569057,-10.355239,-0.4070267
19,-0.001262091,0.000883392,0.002010735,-0.13571715,-0.19348301,-0.30838433,2.22,21.18,5.1,2.9808722,-9.921875,-0.00478855
20,-0.000519231,0.000109473,0.000700475,-0.023317948,-0.11040534,-0.1489485,1.4399999,20.64,5.64,2.1716073,-10.403124,-0.37111259
21,-0.000151366,-9.89E-05,0.000156378,0.049375016,-0.07558602,-0.07808813,0.9,20.279999,5.8199997,1.3312168,-10.733534,-1.0510867
22,-0.000134414,3.66E-05,1.01E-05,-0.023928814,-0.08780333,-0.006616892,0.24,21.539999,6,0.87151605,-9.033599,-0.6177229
23,-0.000504377,0.00070538,1.40E-05,-0.15098879,-0.107961886,-0.002951701,-0.12,21.779999,6.66,0.967287,-8.576292,-0.5961744
24,6.91E-05,0.000229903,-2.11E-05,-0.11433687,0.034369722,0.010487334,-0.06,21.6,6.7799997,0.80687064,-8.439818,-0.75180227
25,0.001816956,-0.000664523,-0.000286925,0.11595933,0.3172003,0.050193578,0.29999998,21.84,7.08,0.76137936,-7.9777236,-0.4285752
26,0.003832719,-0.005966493,-0.002133618,0.43666357,0.28115928,0.15709499,-0.35999998,21.66,7.3799996,1.2186859,-7.80773,-0.028731298
27,0.002559001,-0.006595922,-0.002400495,0.588769,0.22923574,0.2151272,-1.02,21.96,7.3799996,2.1572416,-7.8460383,0.071828246
