,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,0.002290745,-0.000180205,0.000495412,9.599999,18.18,12.78,-0.090982445,0,9.708784
2,0,0,0,0.000458149,0.00043066,-0.000115454,9.24,17.4,12.12,-0.08140534,-0.021548472,9.711179
3,-3.06E-09,-7.77E-09,1.96E-09,0.000458149,-0.000180205,-0.000115454,8.58,17.699999,12.179999,-0.08619389,-0.00478855,9.656111
4,0,0,0,0.002290745,0.00043066,-0.000115454,8.82,18.18,12.059999,-0.06943397,0.00478855,9.727939
5,0,0,0,0.000458149,-0.003234532,-0.000115454,8.34,19.02,11.94,-0.08140534,0.002394275,9.749487
6,-1.45E-07,1.10E-08,5.23E-08,-0.000152716,-0.002012801,-0.000726319,8.4,19.14,12.12,-0.105348095,-0.007182824,9.715967
7,0,0,0,0.000458149,-0.002012801,-0.000115454,8.34,18.48,12.179999,-0.08858817,0.002394275,9.720756
8,0,0,0,0.001069014,-0.000791071,-0.000726319,8.5199995,18.3,12.599999,-0.098165266,-0.00478855,9.747093
9,1.28E-08,2.27E-08,3.43E-09,-0.000763582,0.00043066,-0.000115454,9.179999,18,12.059999,-0.098165266,-0.011971374,9.715967
10,1.16E-08,-1.23E-08,-1.33E-08,0.000458149,0.00043066,0.000495412,9.719999,17.94,11.88,-0.071828246,-0.007182824,9.732727
11,0,0,0,-0.000763582,-0.002012801,-0.000726319,9.66,18,11.82,-0.090982445,-0.00478855,9.696813
12,-1.39E-08,-1.77E-07,8.91E-09,0.002290745,-0.000180205,-0.000115454,9.36,18.6,12.12,-0.083799616,-0.011971374,9.735122
13,-9.37E-09,-5.56E-08,-5.75E-08,0.001069014,-0.000180205,0.001106277,8.76,18.06,11.94,-0.08140534,0.002394275,9.703996
14,0,0,0,0.001069014,0.00043066,-0.000726319,8.82,17.82,11.94,-0.098165266,-0.007182824,9.737515
15,-6.59E-09,-3.91E-08,4.22E-09,0.001069014,-0.000180205,-0.000115454,9.179999,18.3,12.179999,-0.090982445,-0.002394275,9.715967
16,-9.25E-08,9.07E-08,7.62E-09,-0.001374447,-0.001401936,-0.000115454,9.24,19.199999,12.12,-0.08619389,-0.007182824,9.73991
17,0,0,0,0.001069014,0.001041525,-0.000726319,9.54,19.08,12.66,-0.090982445,-0.00478855,9.715967
18,9.24E-09,-9.83E-09,2.48E-09,0.000458149,0.00043066,-0.000115454,9.179999,19.02,12.24,-0.07422252,-0.00478855,9.73991
19,-2.51E-08,4.85E-09,-1.57E-08,-0.000152716,-0.000791071,0.000495412,9.179999,19.14,11.88,-0.09577099,-0.014365649,9.711179
20,0,0,0,-0.001374447,-0.001401936,-0.000726319,9.48,19.02,11.82,-0.102953814,0.00478855,9.73991
21,9.22E-08,8.52E-09,6.44E-09,-0.000152716,0.001652391,-0.000115454,9.12,17.279999,12.179999,-0.09577099,-0.009577099,9.694419
22,-3.32E-09,2.81E-09,-9.12E-09,-0.000152716,-0.000180205,0.000495412,8.7,17.82,12.719999,-0.10055954,0.00478855,9.646533
23,0,0,0,-0.000763582,-0.000791071,-0.000726319,8.76,18.48,12.78,-0.07901107,-0.00478855,9.768641
24,-1.78E-07,-9.48E-08,1.19E-07,0.001069014,-0.002012801,-0.001337184,8.58,19.199999,12.42,-0.08619389,0.00478855,9.771035
25,-6.96E-08,-2.27E-08,5.73E-09,0.000458149,-0.001401936,-0.000115454,8.94,18.42,12,-0.090982445,-0.016759925,9.75667
26,0,0,0,0.000458149,-0.001401936,-0.000115454,8.94,18.779999,11.759999,-0.07901107,-0.014365649,9.737515
27,0,0,0,0.001069014,-0.002012801,-0.000726319,8.94,19.14,11.759999,-0.07422252,-0.002394275,9.744699
28,2.09E-08,6.66E-08,5.60E-09,-0.001374447,0.00043066,-0.000115454,8.7,19.08,12.36,-0.098165266,-0.002394275,9.720756
29,0,0,0,-0.000152716,0.00043066,-0.000726319,9.24,19.14,11.88,-0.08140534,0.011971374,9.711179
30,0,0,0,-0.000152716,0.00043066,0.000495412,9.36,19.56,11.4,-0.098165266,-0.002394275,9.696813
31,-1.14E-07,1.62E-07,9.43E-09,-0.001985312,-0.001401936,-0.000115454,8.82,18.72,12.059999,-0.10774237,-0.007182824,9.711179
32,0,0,0,-0.000763582,0.00043066,0.000495412,8.7,18.24,12.36,-0.07901107,0.011971374,9.72315
33,0,0,0,0.001069014,-0.000180205,-0.000115454,9.3,17.76,12.48,-0.08619389,0.002394275,9.737515
34,4.00E-08,-1.76E-08,4.43E-09,0.000458149,0.001041525,-0.000115454,9.719999,18.119999,12.66,-0.09577099,-0.00478855,9.735122
35,-6.66E-08,7.25E-09,5.48E-09,-0.000152716,-0.001401936,-0.000115454,9.48,18,12.3,-0.09577099,0.00478855,9.732727
36,0,0,0,-0.000763582,-0.000791071,0.000495412,9.42,18.119999,12.599999,-0.09577099,-0.00478855,9.737515
37,2.09E-08,6.66E-08,5.60E-09,-0.001374447,0.00043066,-0.000115454,8.82,18.359999,12.36,-0.09337672,-0.016759925,9.732727
38,2.04E-08,3.62E-08,-5.24E-08,-0.000763582,0.00043066,0.001106277,8.28,18.6,12.24,-0.09337672,0.002394275,9.737515
39,0,0,0,-0.001985312,-0.000180205,-0.000726319,8.5199995,18.359999,12.24,-0.098165266,-0.016759925,9.751882
40,-1.77E-08,2.55E-07,1.31E-07,-0.002596177,-0.000180205,-0.001337184,8.46,18.84,11.639999,-0.09337672,-0.014365649,9.7135725
41,-1.11E-08,-1.04E-07,4.48E-08,0.001679879,-0.000180205,-0.000726319,8.099999,18.42,11.219999,-0.10774237,-0.011971374,9.751882
42,0,0,0,0.000458149,-0.000791071,0.001106277,8.22,18.539999,11.88,-0.10774237,-0.016759925,9.742304
43,-1.02E-08,-9.55E-08,6.56E-09,0.001679879,-0.000180205,-0.000115454,8.5199995,18.72,12.42,-0.09337672,-0.019154198,9.766247
44,5.23E-08,-5.37E-08,5.80E-09,0.001069014,0.001041525,-0.000115454,8.88,18.72,12.12,-0.08858817,-0.002394275,9.70639
45,0,0,0,-0.000763582,0.001041525,-0.000726319,9.36,18.66,12,-0.09577099,-0.011971374,9.730332
46,2.20E-08,7.02E-08,-2.53E-08,-0.001374447,0.00043066,0.000495412,9.66,18.779999,13.0199995,-0.102953814,0.007182824,9.725544
47,-6.46E-09,2.74E-08,2.61E-08,-0.000763582,-0.000180205,-0.000726319,8.82,19.32,13.2,-0.090982445,0.009577099,9.70639
48,0,0,0,-0.000152716,-0.000180205,-0.000115454,8.76,18.72,12.599999,-0.08140534,-0.009577099,9.708784
