,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,0.000647517,0.000375682,0.000497244,3.72,16.02,21.72,-0.06943397,-0.007182824,9.720756
2,9.54E-09,-1.65E-08,2.89E-09,0.000647517,0.000375682,-0.000113621,4.2599998,16.5,21.42,-0.071828246,0.002394275,9.711179
3,0,0,0,0.000647517,0.000375682,0.000497244,4.62,16.68,21.6,-0.083799616,0.007182824,9.72315
4,-2.79E-08,-1.21E-09,-1.64E-08,3.67E-05,-0.000846048,0.000497244,4.68,16.32,21.6,-0.076616794,-0.002394275,9.730332
5,-4.98E-09,1.22E-08,2.41E-09,-0.000574213,-0.000235183,-0.000113621,4.8599997,16.08,21.6,-0.06943397,0.002394275,9.72315
6,0,0,0,-0.000574213,-0.000235183,-0.000113621,5.52,15.9,21.66,-0.062251143,0.002394275,9.725544
7,-2.08E-09,-3.24E-10,1.01E-09,3.67E-05,-0.000235183,-0.000113621,5.46,15.66,20.4,-0.057462595,0.011971374,9.725544
8,-4.35E-09,-6.78E-10,-9.20E-09,3.67E-05,-0.000235183,0.000497244,4.44,16.08,20.34,-0.08619389,0.007182824,9.708784
9,0,0,0,-0.000574213,-0.000846048,-0.000113621,5.16,16.199999,20.88,-0.07422252,-0.00478855,9.715967
10,-4.35E-09,-6.78E-10,-9.20E-09,3.67E-05,-0.000235183,0.000497244,4.38,16.619999,21.42,-0.071828246,0.009577099,9.737515
11,-4.98E-09,1.22E-08,2.41E-09,-0.000574213,-0.000235183,-0.000113621,4.2,16.44,20.88,-0.06943397,0.019154198,9.711179
12,0,0,0,-0.000574213,0.000375682,0.000497244,4.56,16.92,21.119999,-0.057462595,-0.009577099,9.711179
13,-3.23E-08,2.19E-08,-1.90E-08,-0.000574213,-0.000846048,0.000497244,4.92,16.44,20.88,-0.0670397,0.002394275,9.72315
14,-2.08E-09,-3.24E-10,1.01E-09,3.67E-05,-0.000235183,-0.000113621,5.3399997,16.08,21.539999,-0.062251143,-0.007182824,9.711179
15,0,0,0,3.67E-05,-0.000235183,-0.000113621,5.4,15.54,21.72,-0.05506832,0.011971374,9.727939
16,0,0,0,0.000647517,0.000375682,0.000497244,4.62,16.14,21.359999,-0.071828246,0.00478855,9.711179
17,-2.79E-08,-1.21E-09,-1.64E-08,3.67E-05,-0.000846048,0.000497244,4.62,16.619999,21.06,-0.08619389,0.014365649,9.711179
18,1.26E-08,1.92E-08,2.43E-08,-0.000574213,0.000375682,-0.000724486,5.2799997,16.619999,21.3,-0.07422252,-0.007182824,9.730332
19,0,0,0,3.67E-05,-0.000235183,0.000497244,5.1,16.5,21.42,-0.076616794,0,9.72315
20,-2.08E-09,-3.24E-10,1.01E-09,3.67E-05,-0.000235183,-0.000113621,4.44,15.839999,21.24,-0.07422252,0.007182824,9.72315
21,0,0,0,-0.000574213,0.000375682,0.000497244,4.44,15.719999,21.06,-0.08140534,-0.014365649,9.735122
22,0,0,0,3.67E-05,0.000375682,0.000497244,5.22,15.719999,20.939999,-0.07422252,0.00478855,9.718362
23,-4.35E-09,-6.78E-10,-9.20E-09,3.67E-05,-0.000235183,0.000497244,5.46,15.719999,21.66,-0.06464542,0.007182824,9.70639
