,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,-0.000513355,-0.001890951,0.001215453,0.15198205,-0.041359242,-0.09774516,-52.5,51.12,6.8399997,-0.9074302,-9.457385,2.152453
2,0,0,0,0.22223155,-0.061517797,-0.15272304,-52.559998,51.66,7.56,-0.749408,-9.768641,1.0750294
3,0,0,0,0.14709513,0.050270546,-0.17776851,-52.68,51.719997,7.74,-0.16759923,-9.646533,0.50998056
4,0,0,0,0.093949854,-0.017535498,-0.115460254,-52.559998,51.059998,7.8599997,-0.55307746,-9.955395,0.6440599
5,0,0,0,-0.023336273,-0.28020754,0.19547015,-53.039997,50.1,6,-1.1348863,-10.491713,-0.31125572
6,-0.011662305,0.00870138,-0.011087532,-0.2463021,-0.3339637,0.31764323,-52.8,50.16,5.52,0.13647367,-9.608225,0.7996878
7,0,0,0,-0.196822,-0.17819305,0.10994903,-52.98,50.16,5.8799996,-0.6608198,-9.368797,2.3152637
8,0,0,0,0.16603196,-0.02242242,-0.08858218,-52.379997,50.64,6.54,-0.7709565,-9.512454,1.5897985
9,0,0,0,0.19046657,-0.060906928,-0.17227072,-52.02,51.36,6.72,-0.11492519,-9.696813,0.7039168
10,0,0,0,0.089673795,0.19260214,-0.22969204,-52.199997,51.66,6.48,-0.7901107,-9.821315,1.0606637
11,0,0,0,0.15381466,0.094863705,-0.1429492,-52.5,51.42,6.3599997,-1.4126221,-10.575512,0.28252444
12,-0.004111928,0.000947105,-0.004772657,-0.04532742,-0.19896248,0.23090035,-53.1,49.98,5.8199997,0.16520496,-10.027223,0.038308397
13,0,0,0,-0.35625786,-0.18430172,0.18997237,-53.16,49.92,6,-0.31125572,-9.352037,2.5020173
14,0,0,0,0.01698083,0.04171843,0.002436741,-52.739998,50.34,6.66,-0.7877164,-9.4095,2.4589202
15,0,0,0,0.13915388,-0.03647232,-0.082473524,-52.739998,50.52,6.72,-0.38308397,-9.730332,1.3527653
16,0.003215429,-0.001891022,0.003848595,0.1000585,0.16938926,-0.20281398,-52.559998,50.7,6.6,-0.062251143,-9.718362,0.8667275
17,0,0,0,0.082343414,0.10219409,-0.11912544,-52.86,50.579998,6.66,-0.7972935,-9.984126,0.94095
18,0.000197546,-8.15E-05,4.92E-05,0.02125689,0.051492274,-0.01283489,-52.8,50.7,6.66,-1.2402344,-10.257073,0.8356019
19,0,0,0,-0.053268675,-0.07678943,0.20585488,-52.5,50.94,6.66,-0.09577099,-9.964972,0.5818088
