,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,-0.06261063,0.012365134,-0.048480097,18,33.719997,-26.64,0.39266106,-9.744699,0.2681588
2,-0.000309547,0.001396595,0.001409339,-0.06016717,-0.013291206,-0.060697403,18.119999,33.84,-26.64,0.48124924,-9.759064,0.25858167
3,0,0,0,-0.06627583,-0.09026022,-0.10101451,18.42,33.96,-26.4,0.4285752,-9.79019,0.22985038
4,0,0,0,-0.069941014,-0.0994232,-0.11384268,17.46,33.54,-26.699999,0.18435916,-9.75667,0.057462595
5,0,0,0,-0.06566496,-0.06765821,-0.12178393,16.98,33.899998,-26.64,-0.12689656,-9.850046,0.08140534
6,0,0,0,-0.057723712,0.003202156,-0.112010084,16.68,33.78,-26.22,-0.03351985,-9.838076,0.11013664
7,0,0,0,-0.01801747,0.07161906,-0.082688555,16.56,33.84,-25.859999,0.011971374,-9.845258,0.016759925
8,0,0,0,-0.014963144,0.12781866,-0.09918191,16.5,34.14,-25.92,0.1987248,-9.830893,-0.09577099
9,0,0,0,-0.04367381,0.3116891,-0.13155776,16.92,34.559998,-26.34,0.35435268,-9.883567,0.13886794
10,0,0,0,-0.050393328,0.36972132,-0.14194247,17.22,34.5,-26.039999,0.38068968,-9.907509,0.21787901
11,0,0,0,-0.051004194,0.3275716,-0.14621854,17.22,34.92,-25.859999,0.4740664,-9.814133,0.37111259
12,0,0,0,-0.033899967,0.34773016,-0.15477064,17.34,34.86,-26.039999,0.6608198,-10.072714,0.2849187
13,0,0,0,-0.025958719,0.41614705,-0.1749292,17.46,34.739998,-26.34,0.9385557,-9.876384,-0.002394275
14,0,0,0,-0.002745839,0.49922472,-0.23235054,17.34,34.8,-25.5,1.1253091,-10.108628,-0.30646718
15,0,0,0,0.016190983,0.60123926,-0.3245912,17.64,34.8,-24.6,1.4437478,-10.360027,-0.7948992
16,0,0,0,0.006417139,0.6006284,-0.37101695,17.46,34.5,-24.539999,1.4820561,-10.302565,-1.0127783
17,0,0,0,-0.04367381,0.61895436,-0.47303143,17.58,34.86,-24.119999,1.462902,-10.204399,-1.376708
18,0.14024402,0.043621633,0.11883192,-0.15546215,0.63117164,-0.53839403,17.699999,35.52,-24.18,1.5586729,-9.725544,-1.7454263
19,0,0,0,-0.2018879,0.6904255,-0.5438918,17.88,35.7,-23.88,1.462902,-9.581888,-2.0087965
20,0,0,0,-0.3686541,1.0306774,-0.5500005,18.119999,36.42,-23.16,1.1779832,-9.301758,-1.9656997
21,0,0,0,-0.47555554,1.309232,-0.547557,18.119999,37.079998,-21.6,1.3096683,-9.584282,-1.9154198
22,0,0,0,-0.49449238,1.4295725,-0.5365614,18.3,37.02,-20.88,1.4940275,-9.912297,-1.4126221
23,0,0,0,-0.67775196,1.5633521,-0.46264672,18.18,38.04,-19.199999,1.7190893,-9.668081,-0.16281068
24,0,0,0,-0.82985735,1.6898011,-0.24945475,18.72,39,-17.1,1.5467016,-9.864412,-1.6281068
25,0,0,0,-1.1597246,2.8156257,-0.06436259,19.619999,39.42,-14.58,-0.29928434,-10.223554,-1.7214836
26,2.3508193,0.8717791,-1.143241,-1.1786613,2.8663275,0.11339919,20.4,39.66,-12,-0.31843856,-10.491713,-1.7957062
27,0,0,0,-1.284952,2.2230864,0.5006877,22.439999,40.379997,-8.4,0.31365,-10.410307,-1.4557191
28,0,0,0,-1.4523292,2.1357327,0.6075892,23.46,40.32,-5.7599998,1.0079896,-10.489318,-0.8092649
29,0,0,0,-1.5604522,2.0227227,0.55872,25.14,40.26,-1.8,2.8156672,-10.245102,-1.0774237
30,0,0,0,-1.6789601,2.2499647,0.3962298,26.34,40.02,2.6399999,2.5139885,-10.245102,-1.7358493
31,0,0,0,-1.601991,2.2169778,0.46342498,26.46,40.14,5.16,2.1979442,-9.862018,-1.1492519
32,0,0,0,-1.4474422,2.1363435,0.32048252,26.519999,39.3,10.62,2.8898897,-8.7534685,-0.22985038
33,0,0,0,-1.1927114,1.9426993,0.121951304,26.64,38.1,15.599999,3.318465,-7.620977,-0.8140534
34,0,0,0,-0.96241516,1.712403,0.0675843,26.4,38.1,17.58,3.11974,-7.3408465,-0.71588814
35,0,0,0,-0.46883604,0.9744779,0.08896458,25.619999,37.739998,19.74,3.0000262,-7.0702934,-0.89545876
36,0,0,0,-0.1511861,0.20845288,0.3345324,25.38,37.02,21.3,2.49244,-6.6704497,-1.9106313
37,0,0,0,0.22755036,-0.33766064,0.68822336,25.619999,36.36,21.96,2.3248408,-7.206767,-2.5762396
38,0,0,0,0.4022578,-0.6101066,0.84888095,26.46,36.239998,22.02,2.2937152,-7.764633,-2.8611584
39,0,0,0,0.6453822,-1.1714917,1.0596296,27.9,36.719997,20.46,2.2769554,-9.110215,-3.3783216
40,0,0,0,0.57513267,-1.3119907,0.94845194,30.539999,36.12,18.24,2.2769554,-9.967366,-2.6145482
