,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,-2.02E-08,8.49E-09,4.43E-09,-0.000309709,-0.000737925,-0.000161879,5.04,15.78,21.6,-0.028731298,0.007182824,9.715967
2,0,0,0,0.000301157,-0.00012706,-0.000161879,5.16,14.94,21.66,-0.052674048,-0.03351985,9.70639
3,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.7999997,15.12,21.9,-0.023942748,-0.002394275,9.730332
4,-3.59E-09,8.75E-09,2.18E-08,-0.000309709,-0.00012706,-0.000772745,4.74,15.78,21.66,-0.038308397,-0.007182824,9.718362
5,-1.56E-09,-3.69E-09,1.98E-09,0.000301157,-0.00012706,-0.000161879,4.44,16.56,21.18,-0.04070267,0.014365649,9.718362
6,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.74,16.32,21.06,-0.035914123,-0.014365649,9.737515
7,-1.59E-09,3.86E-09,2.02E-09,-0.000309709,-0.00012706,-0.000161879,4.7999997,15.96,20.82,-0.04070267,-0.011971374,9.735122
8,-4.02E-09,2.91E-08,5.12E-09,-0.000920574,-0.00012706,-0.000161879,4.38,15.48,20.279999,-0.047885496,-0.007182824,9.732727
9,0,0,0,-0.000309709,-0.00012706,0.000448986,4.56,15.66,20.76,-0.047885496,-0.002394275,9.73991
10,0,0,0,0.000301157,-0.00012706,-0.000772745,4.68,15.059999,21.3,-0.028731298,-0.011971374,9.7135725
11,9.62E-09,-5.99E-09,3.22E-09,0.000301157,0.000483805,-0.000161879,4.44,14.639999,21.24,-0.04070267,-0.007182824,9.720756
12,0,0,0,0.000301157,0.000483805,0.000448986,4.5,15.24,20.939999,-0.035914123,-0.002394275,9.7135725
13,0,0,0,-0.000309709,-0.00012706,0.000448986,4.74,16.02,21.48,-0.019154198,-0.002394275,9.708784
14,-1.56E-09,-3.69E-09,1.98E-09,0.000301157,-0.00012706,-0.000161879,4.92,15.48,21.72,-0.031125572,0,9.715967
15,0,0,0,-0.000920574,-0.00012706,-0.000161879,5.16,15.299999,22.32,-0.045491222,0.007182824,9.7135725
16,0,0,0,0.000301157,-0.000737925,0.000448986,4.74,15.66,21.96,-0.019154198,-0.023942748,9.7135725
17,-2.01E-08,-8.22E-09,4.42E-09,0.000301157,-0.000737925,-0.000161879,4.56,15.42,22.199999,-0.043096945,-0.002394275,9.703996
18,0,0,0,-0.000309709,-0.000737925,0.000448986,4.3199997,15.719999,21.96,-0.03351985,-0.016759925,9.727939
19,0,0,0,0.000301157,-0.00012706,0.000448986,5.04,15.42,21.779999,-0.031125572,-0.011971374,9.715967
20,9.62E-09,-5.99E-09,3.22E-09,0.000301157,0.000483805,-0.000161879,5.22,16.02,21.779999,-0.038308397,0.007182824,9.72315
21,0,0,0,0.000301157,-0.00012706,0.000448986,5.04,15.599999,21.84,-0.04070267,-0.007182824,9.703996
22,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.62,15.48,21.84,-0.043096945,0.002394275,9.718362
23,-1.56E-09,-3.69E-09,1.98E-09,0.000301157,-0.00012706,-0.000161879,4.56,15.96,21.72,-0.043096945,0.009577099,9.727939
24,0,0,0,0.000301157,0.000483805,0.000448986,3.8999999,15.96,22.02,-0.028731298,-0.009577099,9.72315
25,0,0,0,0.000301157,-0.00012706,-0.000161879,3.78,15.78,21.84,-0.045491222,-0.011971374,9.718362
26,-2.27E-08,9.54E-09,-1.38E-08,-0.000309709,-0.000737925,0.000448986,3.78,15.839999,21.48,-0.05027977,-0.023942748,9.718362
27,0,0,0,-0.000309709,-0.000737925,-0.000161879,4.5,15.48,21.96,-0.043096945,-0.002394275,9.737515
28,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.2599998,15.54,21.6,-0.035914123,0.002394275,9.720756
29,-2.95E-08,3.68E-08,6.47E-09,-0.000920574,-0.000737925,-0.000161879,4.38,15.78,21.6,-0.031125572,-0.014365649,9.70639
30,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.56,15.78,21.6,-0.062251143,-0.019154198,9.72315
31,0,0,0,0.000301157,-0.00012706,0.000448986,4.44,16.14,22.199999,-0.043096945,-0.002394275,9.727939
32,-2.37E-09,-5.61E-09,-8.37E-09,0.000301157,-0.00012706,0.000448986,4.2599998,16.02,22.08,-0.043096945,-0.002394275,9.711179
33,-2.02E-08,8.49E-09,4.43E-09,-0.000309709,-0.000737925,-0.000161879,3.9599998,15.48,21.48,-0.028731298,-0.011971374,9.725544
34,0,0,0,0.000301157,-0.00012706,0.000448986,4.44,15.12,20.76,-0.028731298,-0.021548472,9.720756
35,-2.27E-08,9.54E-09,-1.38E-08,-0.000309709,-0.000737925,0.000448986,4.5,14.94,21.359999,-0.035914123,-0.007182824,9.715967
36,-2.39E-09,5.82E-09,-8.44E-09,-0.000309709,-0.00012706,0.000448986,4.2,15.12,21.6,-0.043096945,-0.028731298,9.720756
37,0,0,0,-0.000309709,0.000483805,0.000448986,4.2599998,16.14,22.68,-0.035914123,-0.014365649,9.711179
38,0,0,0,0.000301157,0.000483805,-0.000161879,4.3199997,16.32,22.439999,-0.031125572,-0.026337024,9.72315
39,-1.56E-09,-3.69E-09,1.98E-09,0.000301157,-0.00012706,-0.000161879,3.9599998,15.96,21.84,-0.052674048,-0.002394275,9.718362
40,0,0,0,0.000301157,-0.00012706,-0.000161879,4.38,15.42,21.66,-0.04070267,-0.011971374,9.718362
41,0,0,0,-0.000920574,-0.00012706,0.000448986,4.7999997,15.299999,22.14,-0.043096945,-0.009577099,9.720756
42,9.62E-09,-5.99E-09,3.22E-09,0.000301157,0.000483805,-0.000161879,4.62,15.599999,22.439999,-0.035914123,-0.021548472,9.718362
43,0,0,0,-0.000309709,-0.00012706,0.000448986,5.16,15.9,21.9,-0.03351985,-0.009577099,9.7135725
44,0,0,0,-0.000309709,-0.000737925,-0.000161879,4.56,15.599999,21.24,-0.035914123,0.016759925,9.718362
45,-2.02E-08,8.49E-09,4.43E-09,-0.000309709,-0.000737925,-0.000161879,4.14,15.48,21.9,-0.05027977,0.019154198,9.72315
46,0,0,0,0.000301157,0.000483805,-0.000161879,4.62,15.78,21.66,-0.023942748,-0.019154198,9.735122
47,0,0,0,0.000301157,-0.00012706,-0.000161879,4.68,15.719999,21.779999,-0.045491222,-0.016759925,9.708784
48,-2.37E-09,-5.61E-09,-8.37E-09,0.000301157,-0.00012706,0.000448986,4.7999997,15.48,21.42,-0.052674048,-0.014365649,9.718362
49,0,0,0,0.000301157,-0.00012706,-0.000161879,4.7999997,15.24,21.18,-0.047885496,0.002394275,9.711179
50,0,0,0,-0.000309709,-0.00012706,-0.000161879,4.8599997,15.12,21.6,-0.021548472,-0.035914123,9.701602
