,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,-0.003673133,-0.023652703,-0.00332555,-19.199999,4.62,22.199999,-9.960183,-0.10774237,-0.20590763
2,0,0,0,-0.000618806,0.012999212,-0.002714685,-19.02,4.7999997,22.439999,-9.948212,-0.10055954,-0.2466103
3,0,0,0,0.003046385,0.017275268,-0.00332555,-19.14,4.68,23.039999,-9.90272,-0.15802214,-0.3328042
4,0,0,0,0.004268115,0.025827384,0.005837428,-19.619999,4.74,22.98,-9.881172,-0.12450229,-0.28970724
5,0,0,0,-7.94E-06,0.044764206,-0.000882089,-20.1,4.8599997,22.199999,-9.8548355,-0.05506832,-0.4166038
6,0,0,0,-0.003062268,0.03376863,-0.00332555,-19.68,4.74,22.32,-9.938635,-0.12450229,-0.37590113
7,0,0,0,-0.002451402,0.063701026,0.004004833,-19.5,4.5,22.619999,-9.821315,-0.014365649,-0.50758624
8,-0.000230855,4.85E-06,2.52E-05,-0.001229672,-0.058472022,-0.006379877,-19.32,4.56,22.56,-9.873989,-0.10774237,-0.5961744
9,0,0,0,-0.001229672,-0.051752504,-0.005158146,-18.96,4.74,22.56,-9.893144,-0.09577099,-0.32562137
10,0,0,0,0.001213789,-0.046254717,-0.005769012,-18.779999,4.8599997,21.96,-9.912297,-0.12929083,-0.44533512
11,0,0,0,-0.000618806,-0.046865582,0.001561372,-18.539999,4.38,22.38,-9.943423,-0.17478207,-0.28970724
12,-5.58E-06,-1.55E-06,-9.14E-06,0.001824654,-0.006548476,0.01072435,-18.779999,4.14,22.92,-9.90272,-0.10774237,-0.29689008
13,0,0,0,0.001213789,-0.001050688,0.00950262,-19.14,4.38,23.039999,-9.900327,-0.07901107,-0.28013015
14,7.93E-05,1.84E-08,2.04E-06,-7.94E-06,0.034379497,-0.000882089,-18.96,5.1,22.8,-9.914692,-0.10055954,-0.3232271
15,0,0,0,-0.000618806,0.036212094,0.000950506,-18.9,5.3399997,22.5,-9.909904,-0.11253092,-0.37590113
16,0,0,0,0.00243552,0.00933402,-0.00210382,-18.48,5.3399997,21.6,-9.866806,-0.08140534,-0.44533512
17,0,0,0,0.001824654,-0.020598376,-0.003936416,-18.539999,5.58,21.779999,-9.883567,-0.07422252,-0.33759275
18,-9.12E-05,1.55E-06,1.90E-05,-0.000618806,-0.036480874,-0.007601607,-19.08,5.52,21.84,-9.924269,-0.15083931,-0.3902668
19,0,0,0,-0.002451402,-0.026096163,-0.00332555,-18.779999,4.98,21.9,-9.885961,-0.13168511,-0.31365
20,0,0,0,-0.001229672,-0.013878859,0.003393967,-19.14,4.5,21.84,-9.905115,-0.08140534,-0.29210153
21,3.27E-08,3.52E-07,-4.16E-07,-0.001840537,0.000171042,0.002172237,-19.08,4.2,22.199999,-9.924269,-0.11971374,-0.25858167
22,0,0,0,-0.000618806,0.03743382,0.000339641,-19.02,4.68,21.72,-9.929058,-0.13168511,-0.2849187
23,0,0,0,0.00243552,0.055148914,0.008280889,-19.26,5.46,22.02,-9.869201,-0.05985687,-0.36871833
24,8.85E-05,-7.44E-06,-5.31E-06,0.003046385,0.036212094,0.002172237,-19.26,5.22,22.26,-9.859624,-0.07422252,-0.40223816
25,0,0,0,0.00243552,0.03499036,-0.00210382,-19.02,5.1,22.26,-9.8787775,-0.071828246,-0.37590113
26,0,0,0,0.00243552,0.03743382,-0.005769012,-18.72,4.68,22.08,-9.873989,-0.102953814,-0.5027977
27,1.26E-05,-5.86E-07,6.21E-06,0.000602924,0.012999212,-0.006379877,-18.6,4.62,22.32,-9.859624,-0.10774237,-0.50040346
28,0,0,0,0.001213789,-0.038924333,-0.008212472,-19.14,4.92,22.859999,-9.912297,-0.15802214,-0.46209505
29,0,0,0,-0.000618806,-0.056639425,0.000339641,-19.619999,5.58,22.74,-9.888355,-0.14605077,-0.35435268
30,-0.000157255,6.02E-06,-2.51E-05,-0.001840537,-0.04808731,0.007670024,-18.9,5.16,22.02,-9.921875,-0.12929083,-0.32801566
31,0,0,0,-0.002451402,-0.006548476,0.007059159,-18.9,5.2799997,22.56,-9.921875,-0.083799616,-0.28013015
32,0,0,0,-0.001840537,0.005057965,0.005226563,-18.9,5.2799997,22.68,-9.931452,-0.10055954,-0.29210153
33,0,0,0,0.003046385,0.040488146,0.005226563,-19.56,4.98,22.02,-9.862018,-0.047885496,-0.31365
34,0,0,0,0.00243552,0.03010344,-0.001492955,-19.56,4.98,21.9,-9.881172,-0.062251143,-0.4070267
35,0,0,0,0.001824654,0.022162192,-0.006379877,-19.08,4.74,22.32,-9.905115,-0.1340794,-0.37590113
36,-2.24E-07,-8.12E-08,-1.28E-07,0.000602924,-0.001661554,0.000950506,-19.68,5.1,22.38,-9.885961,-0.11971374,-0.46209505
37,0,0,0,-7.94E-06,-0.011435397,-0.000882089,-19.199999,5.52,22.26,-9.90272,-0.102953814,-0.45730647
38,0,0,0,-0.003062268,-0.04197866,-0.005158146,-18.96,5.46,22.56,-9.917087,-0.15562786,-0.33759275
39,0,0,0,-0.000618806,-0.021209242,0.005837428,-18.66,4.62,22.5,-9.897932,-0.098165266,-0.33519846
40,-2.24E-05,7.63E-07,-3.43E-06,-0.000618806,-0.018154915,0.002783102,-19.619999,4.5,21.96,-9.888355,-0.08619389,-0.29210153
41,0,0,0,-7.94E-06,0.00933402,0.000339641,-19.439999,4.7999997,22.26,-9.914692,-0.098165266,-0.25379312
42,8.02E-05,-9.96E-06,-6.49E-06,0.004268115,0.034379497,0.002783102,-19.08,5.3399997,22.199999,-9.888355,-0.071828246,-0.34477556
43,0,0,0,0.001824654,0.017886136,-0.003936416,-19.38,5.46,22.08,-9.905115,-0.07901107,-0.36871833
44,0,0,0,-7.94E-06,0.023383921,-0.004547281,-19.68,5.3399997,22.199999,-9.897932,-0.11013664,-0.339987
45,0,0,0,-0.002451402,0.038044687,-0.006379877,-19.32,5.16,22.5,-9.883567,-0.11492519,-0.42139238
46,6.78E-06,1.25E-06,6.01E-07,-0.001840537,0.009944886,-0.000882089,-18.779999,4.5,22.08,-9.921875,-0.12450229,-0.43096948
47,0,0,0,-0.001229672,0.001392773,0.002172237,-18.48,4.98,21.96,-9.8787775,-0.11253092,-0.41181526
48,0,0,0,-0.000618806,-0.019376647,0.004615698,-19.32,4.62,21.9,-9.885961,-0.083799616,-0.40223816
49,0,0,0,-7.94E-06,-0.021820106,0.000950506,-19.56,4.92,22.199999,-9.917087,-0.098165266,-0.35435268
50,0,0,0,-0.001840537,-0.008381072,-0.000271224,-19.619999,5.2799997,22.92,-9.890749,-0.08858817,-0.36871833
51,0,0,0,0.000602924,-0.002272419,-0.00210382,-19.439999,5.8199997,22.38,-9.871595,-0.102953814,-0.35914123
52,1.67E-06,-2.26E-07,1.25E-06,0.000602924,0.004447099,-0.00332555,-19.38,5.3399997,21.84,-9.90272,-0.11013664,-0.37590113
53,0,0,0,-7.94E-06,0.005057965,-0.002714685,-19.14,4.92,21.72,-9.866806,-0.11492519,-0.4070267
54,0,0,0,0.00243552,-0.008381072,0.001561372,-19.26,4.56,21.96,-9.873989,-0.08619389,-0.45012367
