,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,-3.44E-05,2.91E-05,8.49E-06,-0.02964529,-0.03510154,-0.00865535,-10.44,-12.42,-5.64,0.06943397,8.545167,4.3887057
2,-2.29E-05,3.51E-05,-1.47E-05,-0.040640865,-0.026549425,0.01700099,-12,-11.759999,-5.2799997,-0.052674048,8.408693,4.2905407
3,-0.000168765,0.000234863,-0.000125363,-0.09134268,-0.0656448,0.048765983,-12.599999,-12.179999,-6.48,0.0670397,8.494887,4.0798445
4,-0.000202722,0.000595168,-0.000129561,-0.16220304,-0.055260092,0.035326947,-12.42,-13.0199995,-7.3799996,0.17478207,8.880365,4.2474437
5,-0.000228779,0.000675392,0.000278471,-0.18847026,-0.0638122,-0.07768312,-12.059999,-14.04,-9.96,0.10774237,8.904308,4.434197
6,-0.00019041,0.000883935,0.000462949,-0.19152458,-0.04121019,-0.100285135,-12.96,-14.759999,-11.7,-0.26337022,8.9498,4.9274178
7,-5.89E-05,0.000263251,0.000163698,-0.102338254,-0.022884233,-0.06363322,-13.139999,-14.88,-12.12,-0.6368771,8.901914,5.1620564
8,9.65E-05,8.64E-05,1.43E-05,-0.052247304,0.058360845,-0.00865535,-12.96,-15.719999,-11.34,-0.86193895,8.947405,5.1189594
9,0.000523758,-5.24E-05,-0.000125158,0.015558737,0.15548842,0.037159543,-13.74,-13.259999,-9.24,-0.9337672,8.786988,5.3105016
10,0.000813383,-0.000308241,-0.000337856,0.07786699,0.20557936,0.0854179,-12.599999,-13.139999,-8.4,-0.8739103,8.818114,5.114171
11,0.002333125,-0.000482783,-0.000500672,0.067482285,0.3265307,0.07014627,-11.46,-11.28,-5.7,-0.5985687,8.547561,4.965726
12,0.002900309,-0.000537594,-0.001326602,0.06503882,0.352187,0.1611652,-10.679999,-8.58,-2.04,-0.33759275,8.573898,4.9010806
13,0.002895315,-0.000290312,-0.001088158,0.039993346,0.40105623,0.15078047,-9.9,-7.7999997,-0.78,0.2657645,8.722343,4.800521
14,0.004244131,-6.80E-05,-0.000695079,0.007006624,0.44687116,0.07320059,-10.2,-4.7999997,2.04,0.56265455,8.8324795,4.573065
15,0.002210439,-0.000346182,-5.14E-05,0.05648671,0.36073914,0.008448877,-10.98,-3.84,4.7999997,0.5027977,8.667274,4.4892654
16,0.001686243,-0.000819115,-0.000152123,0.1304014,0.26849848,0.024331374,-11.16,-2.52,6.2999997,0.2681588,8.537984,4.4054656
17,0.000378849,-0.000861973,-2.92E-05,0.1939314,0.08523891,0.006616281,-10.5,-1.0799999,7.68,0.25858167,8.564321,3.9697077
18,0.000228907,5.68E-05,0.00015902,-0.025980098,0.104786605,-0.0727962,-11.639999,-0.84,9.3,-0.05506832,8.559532,3.964919
19,0.000117442,6.35E-05,0.000150881,-0.030867022,0.057139114,-0.07340707,-13.2,-0.65999997,9,-0.35914123,8.523619,4.285752
20,-4.85E-06,3.07E-06,1.55E-05,-0.00521068,-0.008223468,-0.026370442,-11.7,0,9.719999,-0.45491222,8.542772,4.235472
21,1.14E-05,7.74E-05,9.55E-06,-0.060188554,0.00888076,-0.007433619,-12.48,0.53999996,10.98,-0.34477556,8.626573,4.166038
22,-5.54E-06,0.000185392,6.47E-05,-0.09134268,-0.002725681,-0.03186823,-11.639999,0.9,11.46,-0.37111259,8.672064,4.4629283
23,-1.22E-05,8.84E-05,1.96E-05,-0.06385375,-0.008834333,-0.014153137,-13.44,1.0799999,10.8,-0.41420954,8.717555,4.4054656
24,-7.23E-05,8.26E-05,1.79E-05,-0.054079898,-0.047318842,-0.011709676,-13.679999,1.68,12.3,-0.4166038,8.734315,4.618556
25,-1.31E-05,5.02E-05,-5.64E-06,-0.04797125,-0.012499525,0.005394551,-13.08,2.6399999,11.94,-0.35435268,8.722343,4.573065
26,-1.41E-05,2.99E-05,-9.19E-06,-0.039419137,-0.018608177,0.012114069,-13.98,2.9399998,11.28,-0.42378664,8.791777,4.7262983
27,-1.46E-05,-1.57E-05,-2.62E-05,0.018613065,-0.017386446,0.031050893,-13.0199995,2.1599998,12.48,-0.29689008,8.777411,4.661653
28,-3.26E-06,2.65E-06,-1.49E-05,-0.00521068,-0.006390872,0.029218296,-14.58,1.86,11.7,-0.36632404,8.684034,4.5874305
29,-4.70E-05,-3.58E-05,-5.78E-05,0.027165178,-0.035712402,0.043879062,-13.62,1.92,11.4,-0.23942748,8.688824,4.616162
