,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,6.70E-11,-3.33E-08,2.19E-08,0.000909578,1.83E-06,-0.00059987,9.059999,18.06,11.58,-0.11492519,-0.002394275,9.73991
2,2.28E-08,3.43E-08,-4.09E-10,-0.000923017,0.000612698,1.10E-05,8.94,18.48,11.219999,-0.083799616,-0.00478855,9.70639
3,8.01E-08,-9.96E-08,-7.20E-10,0.001520444,0.001223563,1.10E-05,9.059999,18.66,11.7,-0.09577099,0.007182824,9.744699
4,-2.57E-08,-3.84E-08,-2.63E-08,0.000909578,-0.000609033,0.000621861,9,18.84,11.759999,-0.08858817,-0.002394275,9.725544
5,-3.21E-07,-3.14E-08,-6.53E-08,0.000298713,-0.003052494,0.000621861,8.58,18.66,11.5199995,-0.09337672,0.002394275,9.727939
6,8.02E-08,6.05E-08,7.93E-08,-0.000923017,0.001223563,-0.001210735,8.94,18.3,12.059999,-0.08619389,0.002394275,9.737515
7,1.20E-10,-9.99E-08,-8.10E-08,0.001520444,1.83E-06,0.001232726,9.179999,18.24,12.42,-0.09337672,-0.009577099,9.718362
8,0,0,0,-0.000312152,-0.001219898,0.000621861,9.179999,18.6,12.179999,-0.071828246,0.002394275,9.737515
9,-1.39E-08,-6.80E-09,-2.50E-10,0.000298713,-0.000609033,1.10E-05,9.36,18.6,11.88,-0.09337672,-0.016759925,9.730332
10,9.35E-11,-7.76E-08,-5.61E-10,0.001520444,1.83E-06,1.10E-05,9,18.6,12,-0.102953814,0,9.742304
11,0,0,0,0.000909578,1.83E-06,-0.00059987,9.36,18.84,12.66,-0.08858817,-0.00478855,9.732727
12,-2.57E-08,-3.84E-08,-2.63E-08,0.000909578,-0.000609033,0.000621861,9.42,18.66,12.179999,-0.10055954,-0.00478855,9.754275
13,-6.26E-08,4.74E-08,-5.64E-10,-0.000923017,-0.001219898,1.10E-05,9.3,18.9,12.059999,-0.083799616,0.00478855,9.720756
14,0,0,0,-0.000312152,0.001223563,0.000621861,9.48,18.42,11.7,-0.090982445,-0.002394275,9.7135725
15,1.98E-10,5.93E-09,4.31E-11,-0.000420275,1.40E-05,-3.05E-06,9.54,18.66,11.94,-0.07901107,0.002394275,9.732727
16,2.48E-08,-3.18E-08,-2.42E-08,0.000801455,0.000624915,0.000607811,9.36,18.119999,12.24,-0.076616794,0,9.72315
17,0,0,0,0.00019059,-0.000596815,-0.00061392,9.12,17.76,12.48,-0.08140534,-0.00478855,9.730332
18,3.00E-10,-4.07E-09,-1.30E-08,0.00019059,1.40E-05,0.000607811,8.639999,17.76,11.5199995,-0.098165266,0.00478855,9.735122
